busstop_id,lat,lng
820,-3.720256,-38.569552
821,-3.719957,-38.569828
822,-3.719744,-38.570558
823,-3.722299,-38.571117
825,-3.812252,-38.609206
826,-3.810926,-38.608261
827,-3.810771,-38.607682
830,-3.815653,-38.604372
832,-3.816178,-38.60369
833,-3.816915,-38.602347
834,-3.816951,-38.600598
835,-3.811087,-38.596874
836,-3.812995,-38.597384
837,-3.813547,-38.59832
838,-3.810799,-38.596787
839,-3.809073,-38.595587
840,-3.811672,-38.59655
841,-3.812591,-38.595156
842,-3.809653,-38.591401
843,-3.809865,-38.591344
844,-3.81143,-38.590205
845,-3.811458,-38.589842
846,-3.8127,-38.591232
847,-3.812747,-38.591467
848,-3.814629,-38.591626
849,-3.81475,-38.591537
850,-3.816466,-38.59072
851,-3.816371,-38.590569
853,-3.817262,-38.590369
854,-3.813621,-38.594092
855,-3.81523,-38.599344
856,-3.813095,-38.588519
857,-3.811656,-38.58331
858,-3.811239,-38.583884
859,-3.810667,-38.582776
860,-3.810556,-38.58282
861,-3.812764,-38.582951
862,-3.809798,-38.581577
863,-3.815798,-38.586824
864,-3.815776,-38.5869
865,-3.814421,-38.587141
866,-3.81478,-38.586872
867,-3.818058,-38.588958
869,-3.813764,-38.584669
871,-3.811378,-38.575379
872,-3.81301,-38.578287
873,-3.812324,-38.574773
874,-3.812143,-38.574107
875,-3.810743,-38.574503
876,-3.811105,-38.574356
877,-3.813092,-38.571104
879,-3.816185,-38.57466
880,-3.815882,-38.574411
881,-3.816512,-38.573466
882,-3.815918,-38.569408
883,-3.816055,-38.568513
884,-3.815157,-38.568811
885,-3.816584,-38.570383
886,-3.827903,-38.589129
888,-3.827989,-38.588557
889,-3.828777,-38.587498
890,-3.829695,-38.586234
891,-3.830578,-38.585066
892,-3.829864,-38.583779
893,-3.831416,-38.581645
894,-3.83139,-38.581255
901,-3.832333,-38.568477
902,-3.833781,-38.568782
903,-3.833697,-38.568779
905,-3.828765,-38.563733
906,-3.828347,-38.559548
907,-3.828076,-38.559697
908,-3.832155,-38.560595
909,-3.832061,-38.560392
910,-3.830214,-38.557792
911,-3.83046,-38.557785
912,-3.831406,-38.557695
913,-3.831965,-38.557713
914,-3.833569,-38.558186
915,-3.833595,-38.558339
916,-3.83599,-38.558927
917,-3.833781,-38.560732
918,-3.833651,-38.560883
